cond, k, gepp_error, iter_error
2.6126e+06, 2, 1.0000e+00, 1.0000e+00
1.9674e+05, 3, 1.0000e+00, 1.0000e+00
1.9674e+05, 4, 9.9993e-01, 9.9968e-01
1.9674e+05, 5, 1.4359e-09, 2.2292e-09
1.9674e+05, 6, 2.8982e-16, 2.8982e-16
1.9674e+05, 7, 2.8982e-16, 2.8982e-16
1.9674e+05, 8, 2.8982e-16, 2.8982e-16
