cond, k, gepp_error, iter_error
3.7110e+11, 4, 1.1336e-26, 4.4733e-54
2.1225e+00, 4, 1.4190e-63, 1.4190e-63
5.3014e+05, 4, 6.7166e-43, 7.7467e-59
1.9803e+07, 4, 1.8440e-46, 3.2389e-59
4.9283e+14, 4, 7.7440e-14, 3.1801e-51
1.9753e+06, 4, 6.0214e-43, 3.4875e-59
1.4181e+13, 4, 2.2034e-16, 1.9321e-52
7.4834e+15, 4, 1.8163e-08, 3.6044e-47
1.6962e+07, 4, 7.9794e-41, 7.7430e-59
7.6833e+12, 4, 4.5728e-25, 2.2322e-52
4.6953e+07, 4, 8.2112e-38, 5.5682e-59
2.7697e+14, 4, 1.2660e-11, 1.0578e-50
6.9650e+06, 4, 3.7682e-47, 9.1894e-59
3.6430e+12, 4, 1.4809e-20, 1.4393e-53
1.4266e+10, 4, 2.6782e-28, 2.8496e-56
1.3830e+11, 4, 1.1227e-27, 7.5482e-55
8.2394e+07, 4, 1.0949e-44, 6.2312e-58
4.3553e+07, 4, 1.9485e-36, 1.8146e-57
9.3987e+12, 4, 2.4849e-19, 1.8668e-52
1.0317e+15, 4, 9.8159e-09, 8.9699e-49
1.6812e+00, 4, 4.5233e-64, 4.5233e-64
4.5770e+04, 4, 5.5173e-59, 1.9365e-61
2.3207e+05, 4, 1.8255e-51, 4.1591e-61
2.8498e+13, 4, 9.7941e-25, 1.9479e-52
9.6481e+11, 4, 6.4467e-23, 2.3717e-53
6.5387e+00, 4, 8.8586e-63, 1.7719e-63
9.0195e+07, 4, 6.1864e-37, 2.0632e-58
5.4435e+01, 4, 9.0032e-63, 1.0020e-63
4.0569e+11, 4, 5.0878e-25, 1.7232e-54
1.0459e+13, 4, 3.4818e-19, 4.1395e-52
5.4105e+03, 4, 7.6467e-55, 1.0056e-60
2.1284e+02, 4, 2.1177e-59, 4.4223e-63
3.2226e+15, 4, 2.3700e-06, 1.7721e-34
9.0838e+12, 4, 1.8984e-20, 3.4130e-54
2.3896e+00, 4, 7.4571e-64, 7.4571e-64
4.7588e+00, 4, 1.9430e-63, 1.9430e-63
2.8284e+04, 4, 3.7133e-61, 3.0873e-61
1.2475e+02, 4, 1.0231e-62, 1.2307e-64
4.0201e+09, 4, 1.8544e-30, 2.1605e-55
5.7797e+07, 4, 1.0212e-38, 7.8940e-57
1.7752e+00, 4, 4.4152e-64, 4.4152e-64
2.7628e+04, 5, 2.2449e-76, 2.8667e-76
6.7278e+13, 5, 5.0794e-32, 6.4556e-68
3.6915e+02, 5, 7.5790e-79, 1.0197e-79
3.1450e+02, 5, 8.0937e-79, 8.0937e-79
7.4872e+05, 5, 3.6981e-75, 6.3914e-75
1.9015e+12, 5, 8.6964e-51, 9.7443e-70
4.6177e+14, 5, 8.1875e-20, 3.5931e-67
5.5955e+09, 5, 1.8686e-55, 3.0627e-72
6.0989e+14, 5, 3.2528e-15, 1.1112e-67
2.3275e+02, 5, 1.2269e-78, 9.5602e-79
9.7254e+02, 5, 1.2581e-79, 3.1454e-78
4.8951e+08, 5, 3.4357e-73, 1.0520e-72
6.4329e+05, 5, 1.4130e-74, 4.6095e-76
1.2131e+11, 5, 2.3039e-54, 8.3789e-73
1.5987e+09, 5, 3.2993e-72, 2.3901e-72
9.0688e+07, 5, 1.2902e-72, 1.3492e-73
3.0248e+07, 5, 4.0418e-74, 1.1141e-73
2.3289e+02, 5, 6.2628e-79, 3.3530e-81
8.0165e+08, 5, 3.1878e-72, 3.4962e-72
4.8306e+12, 5, 2.0961e-41, 8.9539e-70
1.3284e+02, 5, 1.2641e-78, 1.0967e-80
1.9475e+16, 5, 8.5145e-20, 1.5423e-65
1.4319e+06, 5, 1.1579e-74, 8.0964e-76
1.0116e+13, 5, 1.2232e-42, 5.3889e-69
1.5759e+03, 5, 1.1024e-76, 2.3031e-77
1.1325e+01, 5, 3.2398e-80, 3.2398e-80
2.5925e+14, 5, 2.5039e-23, 3.7630e-67
1.5568e+16, 5, 5.5648e-07, 2.9696e-38
